Any,Núm. Mes,Nom Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Tipus de fet,Tipus de fet (Codi penal) o d’Infracció (altres lleis),Àmbit fet,Rol,Sexe,Edat,Nombre víctimes
2020,1,Gener,RP Terres de l'Ebre,ABP Baix Ebre,Tarragona,Baix Ebre,Resta de municipis ABP Baix Ebre,Via pública urbana,Delictes,Amenaces,"Ètnic, origen nacional i/o racial",Víctimes,Home,21,1
2020,1,Gener,RP Terres de l'Ebre,ABP Baix Ebre,Tarragona,Baix Ebre,Resta de municipis ABP Baix Ebre,Via pública urbana,Delictes,Amenaces,"Ètnic, origen nacional i/o racial",Víctimes,Home,19,1
2020,1,Gener,RP  Metropolitana Nord,ABP Rubí,Barcelona,Vallès Occidental,Sant Cugat del Vallès,Centre de dia/Residència persones grans,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Dona,44,1
2020,1,Gener,RP  Metropolitana Nord,ABP Rubí,Barcelona,Vallès Occidental,Sant Cugat del Vallès,Centre de dia/Residència persones grans,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Persones autores,Home,79,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Zona d'oci/lúdica,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Víctimes,Home,28,1
2020,1,Gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Habitatge - Primera residència - Casa adossada,Delictes,Danys (lleu),Orientació política,Víctimes,Dona,59,1
2020,1,Gener,RP Camp de Tarragona,ABP Tarragonès,Tarragona,Tarragonès,Tarragona,Partit polític,Delictes,Coaccions (lleu),Orientació política,Víctimes,Home,37,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Home,19,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Home,18,1
2020,1,Gener,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,19,1
2020,1,Gener,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Home,34,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Transport públic - Renfe - Adif - Estació,Delictes,Lesions,"Ètnic, origen nacional i/o racial",Víctimes,Home,43,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Transport públic - Renfe - Adif - Estació,Delictes,Lesions,"Ètnic, origen nacional i/o racial",Persones autores,Dona,26,1
2020,1,Gener,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Via pública urbana,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Dona,31,1
2020,1,Gener,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Via pública urbana,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Dona,24,1
2020,1,Gener,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Via pública urbana,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Dona,31,1
2020,1,Gener,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Via pública urbana,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Dona,24,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Les Corts,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),Orientació política,Víctimes,Home,37,1
2020,1,Gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Via pública urbana,Delictes,Lesions (lleu),Orientació política,Víctimes,Home,73,1
2020,1,Gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,32,1
2020,1,Gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Partit polític,Faltes Administratives,Danys / deslluïments de béns mobles / immobles,Orientació política,Víctimes,Home,61,1
