Regions policials 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=70
Nivell;Codi;Nom;
Regió policial;RP01;Girona;
Àrea policial;ABP01;Alt Empordà-Figueres;
Municipi;170010;Agullana;
Municipi;170031;Albanyà;
Municipi;170059;Far d'Empordà, el;
Municipi;170123;Avinyonet de Puigventós;
Municipi;170144;Vajol, la;
Municipi;170160;Bàscara;
Municipi;170268;Borrassà;
Municipi;170293;Boadella i les Escaules;
Municipi;170307;Cabanes;
Municipi;170314;Cabanelles;
Municipi;170412;Cantallops;
Municipi;170427;Capmany;
Municipi;170519;Cistella;
Municipi;170524;Siurana;
Municipi;170545;Colera;
Municipi;170600;Darnius;
Municipi;170643;Espolla;
Municipi;170669;Figueres;
Municipi;170754;Garrigàs;
Municipi;170773;Garriguella;
Municipi;170865;Jonquera, la;
Municipi;170887;Lladó;
Municipi;170926;Llançà;
Municipi;170932;Llers;
Municipi;171002;Masarac;
Municipi;171024;Maçanet de Cabrenys;
Municipi;171061;Mollet de Peralada;
Municipi;171117;Navata;
Municipi;171156;Ordis;
Municipi;171328;Peralada;
Municipi;171352;Pont de Molins;
Municipi;171365;Pontós;
Municipi;171387;Portbou;
Municipi;171404;Port de la Selva, el;
Municipi;171432;Rabós;
Municipi;171582;Sant Climent Sescebes;
Municipi;171714;Sant Llorenç de la Muga;
Municipi;171827;Santa Llogaia d'Àlguema;
Municipi;171886;Selva de Mar, la;
Municipi;171962;Terrades;
Municipi;172142;Vilabertran;
Municipi;172214;Vilafant;
Municipi;172266;Vilamalla;
Municipi;172272;Vilamaniscle;
Municipi;172288;Vilanant;
Municipi;172305;Vila-sacra;
Municipi;172348;Biure;
Àrea policial;ABP02;Alt Empordà-Roses;
Municipi;170118;Armentera, l';
Municipi;170329;Cadaqués;
Municipi;170470;Castelló d'Empúries;
Municipi;170622;Escala, l';
Municipi;170741;Fortià;
Municipi;171194;Palau de Santa Eulàlia;
Municipi;171208;Palau-saverdera;
Municipi;171289;Pau;
Municipi;171292;Pedret i Marzà;
Municipi;171518;Riumors;
Municipi;171523;Roses;
Municipi;171753;Sant Miquel de Fluvià;
Municipi;171766;Sant Mori;
Municipi;171788;Sant Pere Pescador;
Municipi;171870;Saus, Camallera i Llampaies;
Municipi;171984;Torroella de Fluvià;
Municipi;172109;Ventalló;
Municipi;172174;Viladamat;
Municipi;172229;Vilaür;
Municipi;172235;Vilajuïga;
Municipi;172253;Vilamacolum;
Àrea policial;ABP03;Baix Empordà-la Bisbal;
Municipi;170046;Albons;
Municipi;170139;Begur;
Municipi;170182;Bellcaire d'Empordà;
Municipi;170221;Bisbal d'Empordà, la;
Municipi;170558;Colomers;
Municipi;170577;Corçà;
Municipi;170681;Foixà;
Municipi;170708;Fontanilles;
Municipi;170767;Garrigoles;
Municipi;170813;Gualta;
Municipi;170852;Jafre;
Municipi;171100;Mont-ras;
Municipi;171175;Palafrugell;
Municipi;171181;Palamós;
Municipi;171215;Palau-sator;
Municipi;171241;Pals;
Municipi;171267;Parlavà;
Municipi;171306;Pera, la;
Municipi;171447;Regencós;
Municipi;171539;Rupià;
Municipi;171910;Serra de Daró;
Municipi;171959;Tallada d'Empordà, la;
Municipi;171978;Torrent;
Municipi;171997;Torroella de Montgrí;
Municipi;172039;Ultramort;
Municipi;172044;Ullà;
Municipi;172057;Ullastret;
Municipi;172095;Vall-llobrega;
Municipi;172116;Verges;
Municipi;172327;Vilopriu;
Municipi;179011;Cruïlles, Monells i Sant Sadurní de l'Heura;
Municipi;179026;Forallac;
Àrea policial;ABP04;Baix Empordà-Sant Feliu;
Municipi;170340;Calonge i Sant Antoni;
Municipi;170486;Castell-Platja d'Aro;
Municipi;171609;Sant Feliu de Guíxols;
Municipi;171812;Santa Cristina d'Aro;
Àrea policial;ABP05;Garrotxa;
Municipi;170101;Argelaguer;
Municipi;170195;Besalú;
Municipi;170216;Beuda;
Municipi;170464;Castellfollit de la Roca;
Municipi;170985;Maià de Montcal;
Municipi;171058;Mieres;
Municipi;171096;Montagut i Oix;
Municipi;171143;Olot;
Municipi;171334;Planes d'Hostoles, les;
Municipi;171390;Preses, les;
Municipi;171498;Riudaura;
Municipi;171544;Sales de Llierca;
Municipi;171616;Sant Feliu de Pallerols;
Municipi;171621;Sant Ferriol;
Municipi;171655;Sant Jaume de Llierca;
Municipi;171833;Sant Aniol de Finestres;
Municipi;171848;Santa Pau;
Municipi;171851;Sant Joan les Fonts;
Municipi;172001;Tortellà;
Municipi;172076;Vall d'en Bas, la;
Municipi;172082;Vall de Bianya, la;
Àrea policial;ABP06;Gironès-Pla de l'Estany;
Municipi;170025;Aiguaviva;
Municipi;170157;Banyoles;
Municipi;170209;Bescanó;
Municipi;170255;Bordils;
Municipi;170353;Camós;
Municipi;170388;Campllong;
Municipi;170405;Canet d'Adri;
