Any,Nom mes,Número mes,Data,Regió Policial,Sexe,Edat,Nombre
2020,Gener,1,01/01/2020,RP METROPOLITANA SUD,Dona,15,1
2020,Gener,1,01/01/2020,RP METROPOLITANA NORD,Home,69,1
2020,Gener,1,01/01/2020,RP CENTRAL,Dona,16,1
2020,Gener,1,01/01/2020,RP CAMP DE TARRAGONA,Home,33,1
2020,Gener,1,01/01/2020,RP METROPOLITANA SUD,Dona,15,1
2020,Gener,1,02/01/2020,RP METROPOLITANA NORD,Home,28,1
2020,Gener,1,02/01/2020,RP PONENT,Home,15,1
2020,Gener,1,02/01/2020,RP PONENT,Home,22,1
2020,Gener,1,02/01/2020,RP METROPOLITANA NORD,Dona,79,1
2020,Gener,1,02/01/2020,RP METROPOLITANA NORD,Dona,47,1
2020,Gener,1,02/01/2020,RP GIRONA,Home,17,1
2020,Gener,1,02/01/2020,RP METROPOLITANA NORD,Home,16,1
2020,Gener,1,02/01/2020,RP GIRONA,Home,27,1
2020,Gener,1,02/01/2020,RP GIRONA,Dona,57,1
2020,Gener,1,02/01/2020,RP METROPOLITANA SUD,Home,41,1
2020,Gener,1,02/01/2020,RP GIRONA,Dona,58,1
2020,Gener,1,03/01/2020,RP PONENT,Home,30,1
2020,Gener,1,03/01/2020,RP CAMP DE TARRAGONA,Home,18,1
2020,Gener,1,03/01/2020,RP METROPOLITANA BARCELONA,Dona,32,1
2020,Gener,1,03/01/2020,RP METROPOLITANA SUD,Dona,33,1
2020,Gener,1,03/01/2020,RP CENTRAL,Dona,20,1
2020,Gener,1,03/01/2020,RP TERRES DE L'EBRE,Home,48,1
2020,Gener,1,03/01/2020,RP METROPOLITANA SUD,Home,50,1
2020,Gener,1,03/01/2020,RP CENTRAL,Home,29,1
2020,Gener,1,03/01/2020,RP METROPOLITANA SUD,Home,44,1
2020,Gener,1,03/01/2020,RP METROPOLITANA BARCELONA,Home,45,1
2020,Gener,1,04/01/2020,RP METROPOLITANA NORD,Dona,14,1
2020,Gener,1,04/01/2020,RP TERRES DE L'EBRE,Home,25,1
2020,Gener,1,04/01/2020,RP METROPOLITANA BARCELONA,Home,39,1
2020,Gener,1,04/01/2020,RP METROPOLITANA BARCELONA,Dona,16,1
