Superficie. Por zonas altimétricas. Comarcas y provincias
2019
Unidades: Kilómetros cuadrados.
Fuente: Institut Cartogràfic i Geològic de Catalunya.
"Nota: La nueva comarca de El Moianès se creó el 1 de mayo de 2015 (Ley 4/2015, de 23 de abril, de creación de la comarca de El Moianès) a partir de la agregación de cinco municipios de la comarca de El Bages, uno de la comarca de Osona y cuatro de la comarca de El Vallès Oriental."

Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15182&lang=es
,Zonas altimétricas (m). Hasta 200,Zonas altimétricas (m). 201-600,Zonas altimétricas (m). 601-1.000,Zonas altimétricas (m). 1.001-2.000,Zonas altimétricas (m). Más de 2000,Superficie
Alt Camp,57.5,348.9,129.7,1.8,0.0,538.0
Alt Empordà,871.3,361.7,105.7,18.8,0.0,1357.5
Alt Penedès,127.4,424.2,41.2,0.0,0.0,592.7
Alt Urgell,0.0,99.0,341.4,925.2,82.0,1447.5
Alta Ribagorça,0.0,0.0,20.4,247.2,159.3,426.9
Anoia,11.3,503.6,350.6,0.8,0.0,866.3
Aran,0.0,0.2,33.5,328.6,271.3,633.6
Bages,:,:,:,:,:,1092.3
Baix Camp,264.9,301.9,114.1,16.1,0.0,697.1
Baix Ebre,611.6,278.8,63.7,48.6,0.0,1002.7
Baix Empordà,598.3,103.3,0.0,0.0,0.0,701.7
Baix Llobregat,295.2,184.9,5.1,0.5,0.0,486.0
Baix Penedès,146.6,142.1,7.6,0.0,0.0,296.4
Barcelonès,122.7,22.1,0.0,0.0,0.0,145.8
Berguedà,0.0,202.0,443.6,500.2,39.1,1185.2
Cerdanya,0.0,0.0,4.6,424.7,117.2,546.7
Conca de Barberà,0.0,273.8,367.8,8.7,0.0,650.2
Garraf,132.5,52.8,0.0,0.0,0.0,185.1
Garrigues,1.2,707.9,88.4,0.1,0.0,797.7
Garrotxa,27.4,444.6,222.6,40.7,0.0,734.6
Gironès,384.9,177.0,13.1,0.0,0.0,575.6
Maresme,251.2,145.2,2.5,0.0,0.0,398.5
Moianès,:,:,:,:,:,337.9
Montsià,452.1,195.7,46.2,41.3,0.0,735.4
Noguera,17.2,1220.5,461.9,84.5,0.0,1784.1
Osona,:,:,:,:,:,1245.2
Pallars Jussà,0.0,182.4,558.1,510.9,91.7,1343.1
Pallars Sobirà,0.0,1.7,110.9,807.6,457.7,1377.9
Pla d'Urgell,34.7,270.4,0.0,0.0,0.0,305.1
Pla de l'Estany,163.4,97.1,2.4,0.0,0.0,262.8
Priorat,39.8,321.7,122.9,14.1,0.0,498.6
Ribera d'Ebre,398.2,411.3,17.8,0.0,0.0,827.3
Ripollès,0.0,8.2,275.5,568.2,104.2,956.6
Segarra,0.0,480.2,242.6,0.0,0.0,722.7
Segrià,520.8,875.8,0.0,0.0,0.0,1396.7
Selva,460.6,345.4,166.1,23.1,0.0,995.0
Solsonès,0.0,102.8,660.7,219.9,17.7,1001.2
Tarragonès,306.0,12.9,0.0,0.0,0.0,319.4
Terra Alta,29.8,645.2,56.8,11.6,0.0,743.0
Urgell,0.0,534.6,45.1,0.0,0.0,579.7
Vallès Occidental,217.3,315.7,49.6,0.5,0.0,583.1
Vallès Oriental,:,:,:,:,:,735.0
Cataluña,6768.6,12556.1,6449.6,4991.4,1340.2,32108.0
Barcelona,1407.0,3617.8,2115.1,553.2,32.6,7725.7
Girona,2481.5,1530.5,840.4,903.0,150.0,5905.5
Lleida,573.9,4475.4,2567.7,3392.9,1157.7,12167.7
Tarragona,2306.5,2932.4,926.7,142.2,0.0,6307.8

