"Població a 1 de gener. Comarques i Aran, àmbits i províncies"
Font: Idescat. Estimacions de població.
Notes:
"- La nova comarca del Moianès es va crear l'1 de maig de 2015 (Llei 4/2015, de 23 d'abril, de creació de la comarca del Moianès) a partir de l'agregació de cinc municipis de la comarca del Bages, un de la comarca d'Osona i quatre de la comarca del Vallès Oriental."
- A partir del març del 2014 vuit municipis de l'Anoia canvien d'adscripció i passen de l'àmbit Penedès a les Comarques Centrals (Acord GOV/21/2014).
"- La Llei 23/2010, de 22 de juliol, de creació de l'àmbit del Penedès, divideix Catalunya en vuit àmbits territorials de planificació."
"(..) Dada confidencial, amb baixa fiabilitat o no disponible."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15224
,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
Alt Camp,45198,44864,44424,44168,44038,44068,44225,44495,44693,45010,44923,44956,44616,43805,42227,40677,39247,38132,36939,35969,35043,34783,34558,34400,34356,34367,34311,34130,34184,34052,34096,33997,34024,33931,33843,33820,33634,33456,33264,33018,32769
Alt Empordà,140429,139359,137951,136981,136522,136384,136338,137005,138260,138867,138351,138041,136480,132802,126514,119962,114869,109305,104558,100484,97288,95748,94738,93711,92980,93039,92588,92145,91772,91346,90902,90059,88618,87423,86296,85369,84519,83573,82690,81700,80725
Alt Penedès,110502,109784,108339,107724,106438,105705,105399,105448,105853,105776,105473,104328,104012,101619,98630,95240,91968,88329,84867,81687,78723,76715,75526,74504,73671,72993,72292,71565,70950,70407,70091,69329,68495,68131,67502,66987,66533,66120,65748,65318,64803
Alt Urgell,20240,20009,20155,20201,20220,20428,20568,20761,20997,21110,21665,21631,21586,21418,21016,20644,20297,19800,19516,19302,18951,18938,18905,18913,18953,18981,18911,18953,19050,19091,19120,19098,18951,18885,18867,18885,19077,19199,19294,19265,19338
Alta Ribagorça,3972,3856,3820,3813,3840,3859,3912,3929,4047,4166,4244,4237,4306,4221,4060,3981,3889,3709,3587,3534,3488,3504,3564,3563,3549,3543,3536,3546,3528,3517,3522,3478,3503,3583,3626,3627,3824,4010,4180,4357,4545
Anoia,124399,123117,120842,119129,118405,117361,117117,117465,118045,118495,118298,117777,116620,114090,111004,107625,103832,100286,96959,94233,92115,90034,88780,87870,87248,86715,85877,84853,84018,83314,82685,81968,81260,80717,80111,79597,79141,78798,78558,78285,78021
Aran,10265,10038,9971,9867,9850,9776,9799,9865,9959,9991,10136,10063,10127,10003,9663,9269,8917,8600,8150,7822,7647,7586,7524,7379,7241,7099,6942,6812,6690,6550,6399,6317,6182,6139,6066,6025,6002,5978,5923,5871,5804
Bages,179770,179151,176891,174703,173724,173143,173193,182795,184182,185416,185289,184498,183576,180361,175937,171544,166988,162997,159534,156207,153430,152390,152394,152514,152451,152698,152641,152624,152634,152383,152228,151886,151400,151133,150789,150523,150752,150827,150908,150708,150488
Baix Camp,196718,195259,192245,190004,188657,188856,188331,189996,191553,192118,191049,189348,187400,184444,176543,169086,161757,155700,151103,147311,144568,143502,142895,141932,140792,139983,138541,137249,135593,133830,132359,130834,128744,126959,125131,123670,122765,121719,120594,119262,118005
Baix Ebre,78953,77908,77199,77170,77606,78378,78743,79714,80453,81486,81876,81422,82070,81617,78363,75800,73106,70234,68641,67080,65772,65138,65263,65423,65515,65839,65540,65464,65143,64822,64816,64789,64711,64686,64593,64474,64140,63750,63429,62926,62564
