Mes,Nom mes,Any,Regió Policial (RP),Àrea Bàsica Policial (ABP),Nombre de visites,Mitjana Temps Espera
1,Gener,2011,RP Pirineu Occidental,ABP Alt Urgell,129,00:05:44
1,Gener,2011,RP Pirineu Occidental,ABP Cerdanya,78,00:11:17
1,Gener,2011,RP Pirineu Occidental,ABP Pallars Jussà - Pallars Sobirà,101,00:04:30
1,Gener,2011,RP Pirineu Occidental,ABP Vall d'Aran - Alta Ribagorça,111,00:10:21
1,Gener,2011,RP Girona,ABP Gironès - Pla de l'Estany,951,00:10:51
1,Gener,2011,RP Girona,ABP Selva Interior,206,00:18:23
1,Gener,2011,RP Girona,ABP Baix Empordà - Sant Feliu,389,00:18:30
1,Gener,2011,RP Girona,ABP Baix Empordà - La Bisbal,394,00:09:35
1,Gener,2011,RP Girona,ABP Alt Empordà - Figueres,518,00:22:52
1,Gener,2011,RP Girona,ABP Alt Empordà - Roses,367,00:07:23
1,Gener,2011,RP Girona,ABP Garrotxa,138,00:13:50
1,Gener,2011,RP Girona,ABP Ripollès,14,00:12:26
1,Gener,2011,RP Girona,ABP Selva Litoral,359,00:14:04
1,Gener,2011,RP Ponent,ABP Segarra - Urgell,191,00:07:03
1,Gener,2011,RP Ponent,ABP Noguera,188,00:08:50
1,Gener,2011,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,1843,00:22:46
1,Gener,2011,RP Central,ABP Berguedà,132,00:06:44
1,Gener,2011,RP Central,ABP Solsonès,110,00:06:43
1,Gener,2011,RP Central,ABP Osona,541,00:14:29
1,Gener,2011,RP Central,ABP Bages,671,00:14:33
1,Gener,2011,RP Central,ABP Anoia,415,00:15:08
1,Gener,2011,RP  Metropolitana Nord,ABP Granollers,1578,00:18:34
1,Gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,701,00:16:35
1,Gener,2011,RP  Metropolitana Nord,ABP Mataró,1070,00:21:35
1,Gener,2011,RP  Metropolitana Nord,ABP Mollet del Vallès,644,00:15:38
1,Gener,2011,RP  Metropolitana Nord,ABP Badalona,2032,00:13:24
1,Gener,2011,RP  Metropolitana Nord,ABP Premià de Mar,570,00:17:02
1,Gener,2011,RP  Metropolitana Nord,ABP Sabadell,1773,00:18:52
1,Gener,2011,RP  Metropolitana Nord,ABP Terrassa,1392,00:14:16
1,Gener,2011,RP  Metropolitana Nord,ABP Santa Coloma de Gramenet,798,00:20:23
1,Gener,2011,RP  Metropolitana Nord,ABP Cerdanyola,1608,00:19:07
1,Gener,2011,RP  Metropolitana Nord,ABP Rubí,1076,00:15:31
1,Gener,2011,RP Metropolitana Sud,ABP Sant Boi de Llobregat,640,00:16:25
1,Gener,2011,RP Metropolitana Sud,ABP Garraf,797,00:14:10
1,Gener,2011,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,1700,00:24:52
1,Gener,2011,RP Metropolitana Sud,ABP Cornellà de Llobregat,1031,00:15:13
1,Gener,2011,RP Metropolitana Sud,ABP Esplugues de Llobregat,519,00:14:19
1,Gener,2011,RP Metropolitana Sud,ABP el Prat de Llobregat,466,00:14:54
1,Gener,2011,RP Metropolitana Sud,ABP Martorell,613,00:21:00
1,Gener,2011,RP Metropolitana Sud,ABP Gavà,1216,00:15:16
1,Gener,2011,RP Metropolitana Sud,ABP Sant Feliu de Llobregat,916,00:12:38
1,Gener,2011,RP Metropolitana Sud,ABP Alt Penedès,692,00:15:22
1,Gener,2011,RP Metropolitana Barcelona,ABP Sant Martí,2321,00:21:11
1,Gener,2011,RP Metropolitana Barcelona,ABP Ciutat Vella,2637,00:22:29
1,Gener,2011,RP Metropolitana Barcelona,ABP Les Corts,1349,00:21:48
1,Gener,2011,RP Metropolitana Barcelona,ABP Eixample,4129,00:17:59
1,Gener,2011,RP Metropolitana Barcelona,ABP Gràcia,892,00:23:05
1,Gener,2011,RP Metropolitana Barcelona,ABP Horta-Guinardó,1763,00:20:13
1,Gener,2011,RP Metropolitana Barcelona,ABP Nou Barris,1176,00:21:02
1,Gener,2011,RP Metropolitana Barcelona,ABP Sants-Montjuïc,657,00:20:38
1,Gener,2011,RP Metropolitana Barcelona,ABP Sarrià-Sant Gervasi,1003,00:13:48
1,Gener,2011,RP Metropolitana Barcelona,ABP Sant Andreu,1173,00:18:19
1,Gener,2011,RP Terres de l'Ebre,ABP Baix Ebre,399,00:21:05
1,Gener,2011,RP Terres de l'Ebre,ABP Montsià,378,00:13:43
1,Gener,2011,RP Terres de l'Ebre,ABP Terra Alta - Ribera d'Ebre,166,00:09:24
1,Gener,2011,RP Camp de Tarragona,ABP Alt Camp - C. de Barberà,429,00:14:54
1,Gener,2011,RP Camp de Tarragona,ABP Baix Camp - Priorat,1183,00:19:50
1,Gener,2011,RP Camp de Tarragona,ABP Baix Penedès,485,00:25:23
1,Gener,2011,RP Camp de Tarragona,ABP Tarragonès,1343,00:21:54
1,Gener,2011,Divisió de Transport,Àrea de Seguretat Aeroportuària,304,00:03:33
2,Febrer,2011,RP Pirineu Occidental,ABP Alt Urgell,197,00:05:06
2,Febrer,2011,RP Pirineu Occidental,ABP Cerdanya,73,00:11:16
2,Febrer,2011,RP Pirineu Occidental,ABP Pallars Jussà - Pallars Sobirà,126,00:05:57
2,Febrer,2011,RP Pirineu Occidental,ABP Vall d'Aran - Alta Ribagorça,111,00:09:50
2,Febrer,2011,RP Girona,ABP Gironès - Pla de l'Estany,1005,00:09:48
2,Febrer,2011,RP Girona,ABP Selva Interior,210,00:15:44
2,Febrer,2011,RP Girona,ABP Baix Empordà - Sant Feliu,454,00:15:54
2,Febrer,2011,RP Girona,ABP Baix Empordà - La Bisbal,356,00:05:51
2,Febrer,2011,RP Girona,ABP Alt Empordà - Figueres,564,00:20:00
2,Febrer,2011,RP Girona,ABP Alt Empordà - Roses,451,00:08:23
2,Febrer,2011,RP Girona,ABP Garrotxa,113,00:17:17
2,Febrer,2011,RP Girona,ABP Ripollès,21,00:11:06
2,Febrer,2011,RP Girona,ABP Selva Litoral,417,00:19:01
2,Febrer,2011,RP Ponent,ABP Segarra - Urgell,195,00:08:26
2,Febrer,2011,RP Ponent,ABP Noguera,184,00:06:31
2,Febrer,2011,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,1663,00:21:07
2,Febrer,2011,RP Central,ABP Berguedà,160,00:09:31
2,Febrer,2011,RP Central,ABP Solsonès,102,00:09:27
2,Febrer,2011,RP Central,ABP Osona,526,00:13:34
2,Febrer,2011,RP Central,ABP Bages,656,00:13:38
2,Febrer,2011,RP Central,ABP Anoia,405,00:15:54
2,Febrer,2011,RP  Metropolitana Nord,ABP Granollers,1485,00:15:07
2,Febrer,2011,RP  Metropolitana Nord,ABP Arenys de Mar,756,00:14:07
2,Febrer,2011,RP  Metropolitana Nord,ABP Mataró,1088,00:19:40
2,Febrer,2011,RP  Metropolitana Nord,ABP Mollet del Vallès,755,00:15:53
2,Febrer,2011,RP  Metropolitana Nord,ABP Badalona,1990,00:12:12
2,Febrer,2011,RP  Metropolitana Nord,ABP Premià de Mar,497,00:17:21
2,Febrer,2011,RP  Metropolitana Nord,ABP Sabadell,1803,00:23:37
2,Febrer,2011,RP  Metropolitana Nord,ABP Terrassa,1256,00:12:21
2,Febrer,2011,RP  Metropolitana Nord,ABP Santa Coloma de Gramenet,783,00:16:43
2,Febrer,2011,RP  Metropolitana Nord,ABP Cerdanyola,1591,00:16:51
2,Febrer,2011,RP  Metropolitana Nord,ABP Rubí,1168,00:14:17
2,Febrer,2011,RP Metropolitana Sud,ABP Sant Boi de Llobregat,583,00:15:26
2,Febrer,2011,RP Metropolitana Sud,ABP Garraf,797,00:15:21
2,Febrer,2011,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,1516,00:25:44
2,Febrer,2011,RP Metropolitana Sud,ABP Cornellà de Llobregat,1021,00:15:57
2,Febrer,2011,RP Metropolitana Sud,ABP Esplugues de Llobregat,579,00:13:12
2,Febrer,2011,RP Metropolitana Sud,ABP el Prat de Llobregat,440,00:12:55
2,Febrer,2011,RP Metropolitana Sud,ABP Martorell,467,00:17:47
2,Febrer,2011,RP Metropolitana Sud,ABP Gavà,1281,00:15:39
2,Febrer,2011,RP Metropolitana Sud,ABP Sant Feliu de Llobregat,946,00:10:23
2,Febrer,2011,RP Metropolitana Sud,ABP Alt Penedès,719,00:18:52
2,Febrer,2011,RP Metropolitana Barcelona,ABP Sant Martí,2332,00:21:05
2,Febrer,2011,RP Metropolitana Barcelona,ABP Ciutat Vella,2378,00:18:29
2,Febrer,2011,RP Metropolitana Barcelona,ABP Les Corts,1318,00:17:44
2,Febrer,2011,RP Metropolitana Barcelona,ABP Eixample,4217,00:15:17
2,Febrer,2011,RP Metropolitana Barcelona,ABP Gràcia,943,00:19:54
2,Febrer,2011,RP Metropolitana Barcelona,ABP Horta-Guinardó,1722,00:19:24
2,Febrer,2011,RP Metropolitana Barcelona,ABP Nou Barris,1117,00:13:50
2,Febrer,2011,RP Metropolitana Barcelona,ABP Sants-Montjuïc,631,00:21:28
2,Febrer,2011,RP Metropolitana Barcelona,ABP Sarrià-Sant Gervasi,934,00:10:52
2,Febrer,2011,RP Metropolitana Barcelona,ABP Sant Andreu,1241,00:18:22
2,Febrer,2011,RP Terres de l'Ebre,ABP Baix Ebre,366,00:24:14
2,Febrer,2011,RP Terres de l'Ebre,ABP Montsià,379,00:11:31
